dose_id,kind,uva_mw_cm2,uvb_mw_cm2,mean_reflectance,median_reflectance,min_reflectance,max_reflectance,range_reflectance,area_reflectance,mean_std,median_std,mean_mad,median_mad,wavelength_lower_nm,wavelength_upper_nm,wavelength_step_nm,wavelength_point_count,samples_total,samples_used,trim_fraction,samples_12,samples_6,chrom_total_mean,chrom_total_sd,chrom_total_ci_low,chrom_total_ci_high,chrom_oxidized_mean,chrom_oxidized_sd,chrom_oxidized_ci_low,chrom_oxidized_ci_high,chrom_reduced_mean,chrom_reduced_sd,chrom_reduced_ci_low,chrom_reduced_ci_high
dose_6,12Oclock,3.185,0.707,0.2121955281044214,0.2108886589606602,0.1617513795693715,0.2745656768480937,0.1128142972787221,33.949013809363024,0.0181687297283958,0.0225048962077876,0.0064408222555742,0.0056709945201873,320.0,480.0,0.5,321,5,3,0.2,,,0.8313635728597397,0.1110348780368987,0.5057968801607448,0.961708094408985,0.3933184159564671,0.1469084348688801,0.1945059524012719,0.6639274731443655,1.4107514239960537,0.7188895582766635,0.6833500013250929,2.3920358950564684
dose_6,6Oclock,3.185,0.707,0.2239471863518126,0.2224677850802739,0.1643764823675155,0.2940952926874161,0.1297188103199005,35.8290749055644,0.0473286956214351,0.0458941967454017,0.0282012036192082,0.0213702023029327,320.0,480.0,0.5,321,5,3,0.2,,,0.8313635728597397,0.1110348780368987,0.5057968801607448,0.961708094408985,0.3933184159564671,0.1469084348688801,0.1945059524012719,0.6639274731443655,1.4107514239960537,0.7188895582766635,0.6833500013250929,2.3920358950564684
dose_1,Sigma,0.0,0.0,0.1841397659924665,0.1818682675560315,0.1486578322947024,0.2349215572079022,0.0862637249131998,29.459636794713628,0.0355134779001617,0.0351329524873441,0.0261479004866253,0.0234106381642503,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.27379686988609,0.2355476896867997,0.0797916565483486,0.6810508025301946,0.0901073162314349,0.1560704498465212,0.0,0.5099368597280475,0.7400488048032302,0.1889624272906675,0.446985099559135,0.9671333435825707
dose_1,Delta,0.0,0.0,-0.0250938361740805,-0.0245794504880905,-0.0324708968400955,-0.0211529086033502,0.0113179882367452,-4.012784579768775,0.0710269558003234,0.0702659049746883,0.0522958009732506,0.0468212763285007,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.27379686988609,0.2355476896867997,0.0797916565483486,0.6810508025301946,0.0901073162314349,0.1560704498465212,0.0,0.5099368597280475,0.7400488048032302,0.1889624272906675,0.446985099559135,0.9671333435825707
dose_2,Sigma,0.647,0.246,0.15617033703831,0.1517168730497359,0.1121976611514885,0.2204306051135063,0.1082329439620177,24.98230627210192,0.0259015640146523,0.0246291264084612,0.0304920095220059,0.0285698016347813,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.6702106062314132,0.1112386744897307,0.5425370759693066,0.900847861988714,0.268739936889168,0.061742192539557,0.2030088342149299,0.3930508616515517,1.3406081155789291,0.2327910359189839,1.0968680287107302,1.9814399042006627
dose_2,Delta,0.647,0.246,-0.0735892628088423,-0.0719548438986142,-0.1069508790969848,-0.0559519852201143,0.0509988938768704,-11.769587636614837,0.0518031280293048,0.0492582528169224,0.0609840190440118,0.0571396032695626,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.6702106062314132,0.1112386744897307,0.5425370759693066,0.900847861988714,0.268739936889168,0.061742192539557,0.2030088342149299,0.3930508616515517,1.3406081155789291,0.2327910359189839,1.0968680287107302,1.9814399042006627
dose_3,Sigma,1.095,0.338,0.140343241621803,0.1375620315472284,0.0985459809501965,0.2003478830059369,0.1018019020557404,22.451567132646833,0.0263828578542708,0.0257328332407574,0.0205677212670435,0.0178043970986328,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.746940679793033,0.1600769252777223,0.550123689607013,0.980512499216695,0.5445087237422649,0.3518020972945336,0.1122756947941592,0.9454591839711892,1.1817486605532,0.164271045065307,0.9384384043308506,1.3717867471627263
dose_3,Delta,1.095,0.338,-0.011907623850606,-0.0106872270504633,-0.0205234388510386,-0.0082657585541407,0.0122576802968978,-1.9026740752160496,0.0527657157085417,0.0514656664815149,0.041135442534087,0.0356087941972657,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.746940679793033,0.1600769252777223,0.550123689607013,0.980512499216695,0.5445087237422649,0.3518020972945336,0.1122756947941592,0.9454591839711892,1.1817486605532,0.164271045065307,0.9384384043308506,1.3717867471627263
dose_4,Sigma,1.692,0.584,0.1547759043155306,0.1537836367885271,0.1086174361407756,0.2114241595069566,0.1028067233661809,24.763226934708666,0.0113968636296004,0.0105606026777014,0.0138118962419667,0.0143670453340396,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.9855803035928415,0.0880909111971416,0.6680382185624246,1.1969731788741658,0.6112001910362025,0.5041549349892811,0.0617617791312084,1.0814939280657132,1.5181381816827064,0.0766125080167391,1.307424445363697,2.1862180080444857
dose_4,Delta,1.692,0.584,-0.0141929588121045,-0.0142802000045775,-0.0194423149029414,-0.0109921346108119,0.0084501802921295,-2.2691524494439297,0.0227937272592009,0.0211212053554028,0.0276237924839335,0.0287340906680793,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.9855803035928415,0.0880909111971416,0.6680382185624246,1.1969731788741658,0.6112001910362025,0.5041549349892811,0.0617617791312084,1.0814939280657132,1.5181381816827064,0.0766125080167391,1.307424445363697,2.1862180080444857
dose_5,Sigma,2.488,0.768,0.2040495581901704,0.2025899564226467,0.1579694896936416,0.2625231295824051,0.1045536398887634,32.64596434185901,0.0118382878210544,0.0121296954826143,0.0161611193766782,0.016936496120142,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.8071596303191209,0.1808943259505433,0.5428531483470487,1.1015288424065903,0.2336118541425206,0.1228510241959123,0.1041131008302109,0.4673717391235009,1.789889368479746,0.8916395507569914,0.8228576094469625,2.916863806996823
dose_5,Delta,2.488,0.768,0.0247266870978465,0.0256110727787017,0.0116411844889322,0.0334243327379226,0.0217831482489904,3.957289730509122,0.0236765756421089,0.0242593909652286,0.0323222387533565,0.0338729922402841,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.8071596303191209,0.1808943259505433,0.5428531483470487,1.1015288424065903,0.2336118541425206,0.1228510241959123,0.1041131008302109,0.4673717391235009,1.789889368479746,0.8916395507569914,0.8228576094469625,2.916863806996823
dose_6,Sigma,3.185,0.707,0.2180713572281171,0.2166800349950789,0.1630639309684435,0.2843304847677549,0.1212665537993114,34.8890443574637,0.025562950194782,0.0253673507178043,0.014912126168431,0.0110046965462661,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.8313635728597397,0.1110348780368987,0.5057968801607448,0.961708094408985,0.3933184159564671,0.1469084348688801,0.1945059524012719,0.6639274731443655,1.4107514239960537,0.7188895582766635,0.6833500013250929,2.3920358950564684
dose_6,Delta,3.185,0.707,-0.011751658247391,-0.0115444461504618,-0.0220728317896525,-0.0017675707737604,0.0203052610158921,-1.8800610962013329,0.0511259003895641,0.0507347014356086,0.0298242523368622,0.0220093930925322,320.0,480.0,0.5,321,3,3,0.2,3.0,3.0,0.8313635728597397,0.1110348780368987,0.5057968801607448,0.961708094408985,0.3933184159564671,0.1469084348688801,0.1945059524012719,0.6639274731443655,1.4107514239960537,0.7188895582766635,0.6833500013250929,2.3920358950564684
