window,kind,modality,dcor_permutation_p,rv_permutation_p,procrustes_permutation_p,baseline_rmse_loocv,baseline_mae_loocv,multiblock_joint_components,feature_set,model_type,band_label,band_lower_nm,band_upper_nm,component,pearson_perm_p,spearman_perm_p,kendall_perm_p
320_480nm,6Oclock,dad,0.5615438456154385,0.3997600239976002,0.3035696430356964,0.5632006894153337,0.4285645423952733,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,6Oclock,dad,0.5615438456154385,0.3997600239976002,0.3035696430356964,0.655064226714554,0.5504356309572831,1,phase9,ridge,peak_band_auto,300.0,600.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,6Oclock,dad,0.5615438456154385,0.3997600239976002,0.3035696430356964,0.3844002920344671,0.3052687467745151,1,phase9,ridge,peak_band_auto,300.0,600.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Delta,dad,0.4222577742225777,0.3577642235776422,0.3955604439556044,1.1096172780442723,0.7920841231580824,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Delta,dad,0.4222577742225777,0.3577642235776422,0.3955604439556044,1.440309068110743,1.024712959860465,1,phase9,ridge,320_480nm,320.0,480.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Delta,dad,0.4222577742225777,0.3577642235776422,0.3955604439556044,0.4794208122074502,0.4003084272609603,1,phase9,ridge,320_480nm,320.0,480.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Delta,dad,0.4222577742225777,0.3577642235776422,0.3955604439556044,1.140002020811906,0.8428837777403526,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Delta,dad,0.4222577742225777,0.3577642235776422,0.3955604439556044,0.636664586029899,0.5824430252208044,1,phase9,ridge,360_410nm,360.0,410.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Delta,dad,0.4222577742225777,0.3577642235776422,0.3955604439556044,1.3148798710132594,1.0030707745533656,1,phase9,ridge,360_410nm,360.0,410.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Delta,dad,0.4222577742225777,0.3577642235776422,0.3955604439556044,0.8448228304794624,0.7235870191923159,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Delta,dad,0.4222577742225777,0.3577642235776422,0.3955604439556044,0.7659796558760025,0.6667924649745158,1,phase9,ridge,peak_band_auto,300.0,600.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Delta,dad,0.4222577742225777,0.3577642235776422,0.3955604439556044,0.784646707897415,0.6549545654399933,1,phase9,ridge,peak_band_auto,300.0,600.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Sigma,dad,0.4634536546345365,0.2664733526647335,0.2887711228877112,1.0780579465594022,0.8963042542741718,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Sigma,dad,0.4634536546345365,0.2664733526647335,0.2887711228877112,0.7969216432037829,0.7196117163263053,1,phase9,ridge,320_480nm,320.0,480.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Sigma,dad,0.4634536546345365,0.2664733526647335,0.2887711228877112,0.9505972997341512,0.7776720208215152,1,phase9,ridge,320_480nm,320.0,480.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Sigma,dad,0.4634536546345365,0.2664733526647335,0.2887711228877112,0.5867691294947454,0.4844904827417366,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Sigma,dad,0.4634536546345365,0.2664733526647335,0.2887711228877112,0.4733497465046269,0.4371599314887615,1,phase9,ridge,360_410nm,360.0,410.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Sigma,dad,0.4634536546345365,0.2664733526647335,0.2887711228877112,0.5522015383691807,0.4396103516244198,1,phase9,ridge,360_410nm,360.0,410.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Sigma,dad,0.4634536546345365,0.2664733526647335,0.2887711228877112,0.553726739001856,0.5228831968407895,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Sigma,dad,0.4634536546345365,0.2664733526647335,0.2887711228877112,0.1661286385692352,0.1341550697405415,1,phase9,ridge,peak_band_auto,300.0,600.0,oxidized,0.9002099790000001,0.9540045995,0.900009999
320_480nm,Sigma,dad,0.4634536546345365,0.2664733526647335,0.2887711228877112,0.7371860574225196,0.6677521595836854,1,phase9,ridge,peak_band_auto,300.0,600.0,reduced,0.9002099790000001,0.9540045995,0.900009999
320_480nm,12Oclock,latent,0.9433056694330568,0.8586141385861414,0.792020797920208,0.2990679511616353,0.2160157304317659,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,12Oclock,latent,0.9433056694330568,0.8586141385861414,0.792020797920208,0.3167820119215183,0.2572606084135899,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,12Oclock,latent,0.9433056694330568,0.8586141385861414,0.792020797920208,0.6227533505088237,0.5499666435304252,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,6Oclock,latent,0.3351664833516648,0.2557744225577442,0.1666833316668333,1.000097107661028,0.6654759708637714,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,6Oclock,latent,0.3351664833516648,0.2557744225577442,0.1666833316668333,0.3094578963923366,0.2797738041310271,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,6Oclock,latent,0.3351664833516648,0.2557744225577442,0.1666833316668333,0.3235356345327593,0.2549297546626271,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,Delta,latent,0.3317668233176682,0.3192680731926807,0.4191580841915808,0.5940786997696537,0.4233078361229345,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,Delta,latent,0.3317668233176682,0.3192680731926807,0.4191580841915808,0.556786460185942,0.4140119410356199,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,Delta,latent,0.3317668233176682,0.3192680731926807,0.4191580841915808,0.4313486374060722,0.3746332078757496,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,Sigma,latent,0.3395660433956604,0.1932806719328067,0.1641835816418358,0.5483994083224311,0.4519168413190786,1,phase9,ridge,320_480nm,320.0,480.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,Sigma,latent,0.3395660433956604,0.1932806719328067,0.1641835816418358,0.3052728496204224,0.2561023066075141,1,phase9,ridge,360_410nm,360.0,410.0,total,0.9903009699,0.5411458854,0.5339466053
320_480nm,Sigma,latent,0.3395660433956604,0.1932806719328067,0.1641835816418358,0.2895612425427948,0.2731519802572092,1,phase9,ridge,peak_band_auto,300.0,600.0,total,0.9903009699,0.5411458854,0.5339466053
