window,kind,modality,dcor_statistic,dcor_permutation_p,procrustes_permutation_p,rv_value,rv_permutation_p,multiblock_blocks_used,multiblock_joint_components,multiblock_warning,component,band_label,baseline_rmse_loocv,baseline_mae_loocv,feature_set,model_type,band_lower_nm,band_upper_nm
320_480nm,Delta,chrom,0.6933106229689188,0.2996700329967003,0.4408559144085591,0.6959704977110209,0.2977702229777022,"['12Oclock', '6Oclock']",1,,reduced,peak_band_auto,0.7261781115710074,0.6119570975857943,phase9,ridge,300.0,600.0
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,total,320_480nm,1.1096172780442723,0.7920841231580824,phase9,ridge,320.0,480.0
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,oxidized,320_480nm,1.440309068110743,1.024712959860465,phase9,ridge,320.0,480.0
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,reduced,320_480nm,0.4794208122074502,0.4003084272609603,phase9,ridge,320.0,480.0
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,total,360_410nm,1.140002020811906,0.8428837777403526,phase9,ridge,360.0,410.0
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,oxidized,360_410nm,0.636664586029899,0.5824430252208044,phase9,ridge,360.0,410.0
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,reduced,360_410nm,1.3148798710132594,1.0030707745533656,phase9,ridge,360.0,410.0
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.8448228304794624,0.7235870191923159,phase9,ridge,300.0,600.0
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,oxidized,peak_band_auto,0.7659796558760025,0.6667924649745158,phase9,ridge,300.0,600.0
320_480nm,Delta,dad,0.5712768073072175,0.4222577742225777,0.3955604439556044,0.4645497032914408,0.3577642235776422,"['12Oclock', '6Oclock']",1,,reduced,peak_band_auto,0.784646707897415,0.6549545654399933,phase9,ridge,300.0,600.0
320_480nm,Delta,latent,0.6475840198139853,0.3317668233176682,0.4191580841915808,0.588736803781604,0.3192680731926807,"['12Oclock', '6Oclock']",1,,total,320_480nm,0.5940786997696537,0.4233078361229345,phase9,ridge,320.0,480.0
320_480nm,Delta,latent,0.6475840198139853,0.3317668233176682,0.4191580841915808,0.588736803781604,0.3192680731926807,"['12Oclock', '6Oclock']",1,,total,360_410nm,0.556786460185942,0.4140119410356199,phase9,ridge,360.0,410.0
320_480nm,Delta,latent,0.6475840198139853,0.3317668233176682,0.4191580841915808,0.588736803781604,0.3192680731926807,"['12Oclock', '6Oclock']",1,,total,peak_band_auto,0.4313486374060722,0.3746332078757496,phase9,ridge,300.0,600.0
320_480nm,Sigma,chrom,0.7451038912928127,0.2300769923007699,0.0953904609539046,1.1446011498283473,0.1444855514448555,"['12Oclock', '6Oclock']",1,,total,320_480nm,0.5679717216598709,0.4668487786940781,phase9,ridge,320.0,480.0
