target,kind,band_label,role,subset_name,feature_count,features,alpha,rmse_loocv_subset,mae_loocv_subset,rmse_loocv_catalogue,rmse_in_sample_catalogue,delta_rmse_loocv
dad_oxidized,Sigma,peak_band_auto,reporting,peak_auc,2,"peak_reflectance,auc",0.1,0.5330486441440786,0.4725179951534379,0.16612863856923527,0.07477386405913505,0.36692000557484333
dad_oxidized,Sigma,peak_band_auto,reporting,peak_only,1,peak_reflectance,0.1,0.4389060175181924,0.3871904920431392,0.16612863856923527,0.07477386405913505,0.27277737894895715
dad_oxidized,Sigma,peak_band_auto,reporting,peak_reflectance+continuum_depth,2,"peak_reflectance,continuum_depth",0.1,0.43936282255245296,0.38756896277770214,0.16612863856923527,0.07477386405913505,0.2732341839832177
dad_oxidized,Sigma,peak_band_auto,reporting,peak_reflectance+fwhm_nm,2,"peak_reflectance,fwhm_nm",0.1,0.19809696925089598,0.1762188866821525,0.16612863856923527,0.07477386405913505,0.03196833068166072
dad_oxidized,Sigma,peak_band_auto,reporting,peak_reflectance+peak_wavelength_nm,2,"peak_reflectance,peak_wavelength_nm",0.1,0.34019047976506606,0.24709367194963253,0.16612863856923527,0.07477386405913505,0.1740618411958308
dad_oxidized,Sigma,peak_band_auto,reporting,peak_wavelength_nm+auc,2,"peak_wavelength_nm,auc",0.1,0.3595479315044677,0.28192781757094504,0.16612863856923527,0.07477386405913505,0.1934192929352324
dad_oxidized,Sigma,peak_band_auto,reporting,peak_wavelength_nm+continuum_depth,2,"peak_wavelength_nm,continuum_depth",0.1,0.35053383663149035,0.25554137613142625,0.16612863856923527,0.07477386405913505,0.18440519806225508
dad_oxidized,Sigma,peak_band_auto,reporting,peak_wavelength_nm+fwhm_nm,2,"peak_wavelength_nm,fwhm_nm",0.1,0.2434327614791643,0.223577788570494,0.16612863856923527,0.07477386405913505,0.07730412290992902
dad_total,Sigma,peak_band_auto,reporting,auc+continuum_depth,2,"auc,continuum_depth",0.1,0.542616251288019,0.41352318119762527,0.553726739001856,0.19956935640759682,-0.011110487713836936
dad_total,Sigma,peak_band_auto,reporting,auc_fwhm,2,"auc,fwhm_nm",0.1,0.513022771336246,0.4742016105747191,0.553726739001856,0.19956935640759682,-0.04070396766561002
dad_total,Sigma,peak_band_auto,reporting,auc_only,1,auc,0.1,0.5423185040235928,0.413501660985895,0.553726739001856,0.19956935640759682,-0.011408234978263154
dad_total,Sigma,peak_band_auto,reporting,continuum_depth+fwhm_nm,2,"continuum_depth,fwhm_nm",0.1,0.47088249681402433,0.3899871845051967,0.553726739001856,0.19956935640759682,-0.08284424218783165
dad_total,Sigma,peak_band_auto,reporting,drop_fixed_terms,6,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature",0.1,0.6733378627960602,0.6422315493480578,0.553726739001856,0.19956935640759682,0.11961112379420424
dad_total,Sigma,peak_band_auto,reporting,full,8,"peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature,fixed_peak_reflectance,fixed_continuum_depth",0.1,0.6733378627960704,0.6422315493480658,0.553726739001856,0.19956935640759682,0.11961112379421446
dad_total,Sigma,peak_band_auto,reporting,fwhm_only,1,fwhm_nm,0.1,0.47130165564491194,0.39052007282595724,0.553726739001856,0.19956935640759682,-0.08242508335694404
dad_total,Sigma,peak_band_auto,reporting,peak_auc,2,"peak_reflectance,auc",0.1,0.5419991246801624,0.4118761607150119,0.553726739001856,0.19956935640759682,-0.011727614321693558
