dose_id,kind,modality,reflectance_metric,reflectance_value,target_metric,target_value,window
dose_4,Delta,dad,mean_mad,0.0276237924839335,dad_total_mad,0.2635628062355546,320_480nm
dose_5,Sigma,dad,mean_mad,0.0161611193766782,dad_total_mad,0.2988549013514634,320_480nm
dose_5,Delta,dad,mean_mad,0.0323222387533565,dad_total_mad,0.2988549013514634,320_480nm
dose_6,Sigma,dad,mean_mad,0.014912126168431,dad_total_mad,0.3653999654700957,320_480nm
dose_6,Delta,dad,mean_mad,0.0298242523368622,dad_total_mad,0.3653999654700957,320_480nm
dose_1,12Oclock,latent,mean_std,0.0104281864387366,latent_total_sd,0.263811430894916,320_480nm
dose_1,6Oclock,latent,mean_std,0.0702443178123991,latent_total_sd,0.263811430894916,320_480nm
dose_2,12Oclock,latent,mean_std,0.0150648729180769,latent_total_sd,0.0963352538278375,320_480nm
dose_2,6Oclock,latent,mean_std,0.0494809751409251,latent_total_sd,0.0963352538278375,320_480nm
dose_3,12Oclock,latent,mean_std,0.0348211249859812,latent_total_sd,0.12643908308259,320_480nm
dose_3,6Oclock,latent,mean_std,0.0395249947828854,latent_total_sd,0.12643908308259,320_480nm
dose_4,12Oclock,latent,mean_std,0.0073779302838977,latent_total_sd,0.0826953761086635,320_480nm
dose_4,6Oclock,latent,mean_std,0.0213861404573135,latent_total_sd,0.0826953761086635,320_480nm
dose_5,12Oclock,latent,mean_std,0.0222079932397299,latent_total_sd,0.1588399890691924,320_480nm
dose_5,6Oclock,latent,mean_std,0.007646718577455,latent_total_sd,0.1588399890691924,320_480nm
dose_6,12Oclock,latent,mean_std,0.0181687297283958,latent_total_sd,0.1462908579499511,320_480nm
dose_6,6Oclock,latent,mean_std,0.0473286956214351,latent_total_sd,0.1462908579499511,320_480nm
dose_1,Sigma,latent,mean_std,0.0355134779001617,latent_total_sd,0.263811430894916,320_480nm
dose_1,Delta,latent,mean_std,0.0710269558003234,latent_total_sd,0.263811430894916,320_480nm
dose_2,Sigma,latent,mean_std,0.0259015640146523,latent_total_sd,0.0963352538278375,320_480nm
dose_2,Delta,latent,mean_std,0.0518031280293048,latent_total_sd,0.0963352538278375,320_480nm
dose_3,Sigma,latent,mean_std,0.0263828578542708,latent_total_sd,0.12643908308259,320_480nm
dose_3,Delta,latent,mean_std,0.0527657157085417,latent_total_sd,0.12643908308259,320_480nm
dose_4,Sigma,latent,mean_std,0.0113968636296004,latent_total_sd,0.0826953761086635,320_480nm
dose_4,Delta,latent,mean_std,0.0227937272592009,latent_total_sd,0.0826953761086635,320_480nm
dose_5,Sigma,latent,mean_std,0.0118382878210544,latent_total_sd,0.1588399890691924,320_480nm
dose_5,Delta,latent,mean_std,0.0236765756421089,latent_total_sd,0.1588399890691924,320_480nm
dose_6,Sigma,latent,mean_std,0.025562950194782,latent_total_sd,0.1462908579499511,320_480nm
dose_6,Delta,latent,mean_std,0.0511259003895641,latent_total_sd,0.1462908579499511,320_480nm
dose_1,12Oclock,latent,mean_mad,0.0090907860860645,,,320_480nm
dose_1,6Oclock,latent,mean_mad,0.0513020005088728,,,320_480nm
dose_2,12Oclock,latent,mean_mad,0.0207085204876471,,,320_480nm
dose_2,6Oclock,latent,mean_mad,0.057010276805946,,,320_480nm
dose_3,12Oclock,latent,mean_mad,0.0094246775654617,,,320_480nm
dose_3,6Oclock,latent,mean_mad,0.039927192635811,,,320_480nm
dose_4,12Oclock,latent,mean_mad,0.0109639679809968,,,320_480nm
dose_4,6Oclock,latent,mean_mad,0.025055932293057,,,320_480nm
dose_5,12Oclock,latent,mean_mad,0.030321411765253,,,320_480nm
dose_5,6Oclock,latent,mean_mad,0.0104859412830566,,,320_480nm
dose_6,12Oclock,latent,mean_mad,0.0064408222555742,,,320_480nm
dose_6,6Oclock,latent,mean_mad,0.0282012036192082,,,320_480nm
dose_1,Sigma,latent,mean_mad,0.0261479004866253,,,320_480nm
dose_1,Delta,latent,mean_mad,0.0522958009732506,,,320_480nm
dose_2,Sigma,latent,mean_mad,0.0304920095220059,,,320_480nm
dose_2,Delta,latent,mean_mad,0.0609840190440118,,,320_480nm
dose_3,Sigma,latent,mean_mad,0.0205677212670435,,,320_480nm
dose_3,Delta,latent,mean_mad,0.041135442534087,,,320_480nm
dose_4,Sigma,latent,mean_mad,0.0138118962419667,,,320_480nm
dose_4,Delta,latent,mean_mad,0.0276237924839335,,,320_480nm
dose_5,Sigma,latent,mean_mad,0.0161611193766782,,,320_480nm
dose_5,Delta,latent,mean_mad,0.0323222387533565,,,320_480nm
dose_6,Sigma,latent,mean_mad,0.014912126168431,,,320_480nm
dose_6,Delta,latent,mean_mad,0.0298242523368622,,,320_480nm
