PC1,PC2,matrix,kind,modality,window,dose_id
0.3794614999805215,-0.8845800137607451,latent,Sigma,latent,320_480nm,dose_3
1.8195497128593219,-0.4940007843906375,latent,Sigma,latent,320_480nm,dose_4
0.539515823432496,1.2434131046395147,latent,Sigma,latent,320_480nm,dose_5
0.7453691991280036,-0.10833757359937715,latent,Sigma,latent,320_480nm,dose_6
-1.4513093257126006,2.096628444812533,reflectance,Delta,chrom,320_480nm,dose_1
-5.112100325584673,-1.392629903860402,reflectance,Delta,chrom,320_480nm,dose_2
0.399635888941785,0.8963800315619287,reflectance,Delta,chrom,320_480nm,dose_3
1.6787637420432409,-1.3241921481095205,reflectance,Delta,chrom,320_480nm,dose_4
3.4642483313747534,-0.7897349143966322,reflectance,Delta,chrom,320_480nm,dose_5
1.0207616889374957,0.5135484899920938,reflectance,Delta,chrom,320_480nm,dose_6
-3.0915658041000884,0.21051999452379377,chrom,Delta,chrom,320_480nm,dose_1
-0.3846112881182893,-0.3745249788370532,chrom,Delta,chrom,320_480nm,dose_2
0.37934867336400685,1.0713522358306389,chrom,Delta,chrom,320_480nm,dose_3
1.8469954394922818,0.6069352413313551,chrom,Delta,chrom,320_480nm,dose_4
0.6762888344656975,-1.4806111509330397,chrom,Delta,chrom,320_480nm,dose_5
0.5735441448963914,-0.03367134191569407,chrom,Delta,chrom,320_480nm,dose_6
-1.4513093257126006,2.096628444812533,reflectance,Delta,dad,320_480nm,dose_1
-5.112100325584673,-1.392629903860402,reflectance,Delta,dad,320_480nm,dose_2
0.399635888941785,0.8963800315619287,reflectance,Delta,dad,320_480nm,dose_3
1.6787637420432409,-1.3241921481095205,reflectance,Delta,dad,320_480nm,dose_4
3.4642483313747534,-0.7897349143966322,reflectance,Delta,dad,320_480nm,dose_5
1.0207616889374957,0.5135484899920938,reflectance,Delta,dad,320_480nm,dose_6
-3.4546474023942473,-0.2374133553633988,dad,Delta,dad,320_480nm,dose_1
0.04898657236436473,0.5962618094873231,dad,Delta,dad,320_480nm,dose_2
0.46044902356038114,-0.6956386882347688,dad,Delta,dad,320_480nm,dose_3
1.7376520419098667,-0.3643336573901077,dad,Delta,dad,320_480nm,dose_4
0.32547390690384254,0.9242497285444308,dad,Delta,dad,320_480nm,dose_5
0.8820858576557917,-0.22312583704347866,dad,Delta,dad,320_480nm,dose_6
-1.4513093257126006,2.096628444812533,reflectance,Delta,latent,320_480nm,dose_1
-5.112100325584673,-1.392629903860402,reflectance,Delta,latent,320_480nm,dose_2
0.399635888941785,0.8963800315619287,reflectance,Delta,latent,320_480nm,dose_3
1.6787637420432409,-1.3241921481095205,reflectance,Delta,latent,320_480nm,dose_4
3.4642483313747534,-0.7897349143966322,reflectance,Delta,latent,320_480nm,dose_5
1.0207616889374957,0.5135484899920938,reflectance,Delta,latent,320_480nm,dose_6
-3.2829976457490218,-0.22496141163314398,latent,Delta,latent,320_480nm,dose_1
-0.2008985896513215,0.46846667874438924,latent,Delta,latent,320_480nm,dose_2
0.3794614999805215,-0.8845800137607451,latent,Delta,latent,320_480nm,dose_3
1.8195497128593219,-0.4940007843906375,latent,Delta,latent,320_480nm,dose_4
0.539515823432496,1.2434131046395147,latent,Delta,latent,320_480nm,dose_5
0.7453691991280036,-0.10833757359937715,latent,Delta,latent,320_480nm,dose_6
-0.2637300692251929,0.5146150824709795,reflectance,12Oclock,chrom,320_480nm,dose_1
-2.850528466984919,1.3759923960197549,reflectance,12Oclock,chrom,320_480nm,dose_2
-1.7355301293140293,-1.9416195589923064,reflectance,12Oclock,chrom,320_480nm,dose_3
-1.2722975735832187,0.17563634848304496,reflectance,12Oclock,chrom,320_480nm,dose_4
