dose_id,kind,source,band_label,band_lower_nm,band_upper_nm,actual_band_lower_nm,actual_band_upper_nm,uva_mw_cm2,uvb_mw_cm2,trim_fraction,samples_total,samples_used,peak_reflectance,peak_wavelength_nm,auc,continuum_depth,fwhm_nm,max_curvature,fixed_peak_wavelength_nm,fixed_peak_reflectance,fixed_continuum_depth,samples_12,samples_6
dose_3,Sigma,composite,360_410nm,360.0,410.0,360.0,410.0,1.095,0.338,0.2,,,0.1437308813134828,406.0,6.62913399469107,0.005085278240342939,33.0,0.012407417098681262,406.0,0.1437308813134828,-0.0029139685134092486,3.0,3.0
dose_4,Sigma,composite,360_410nm,360.0,410.0,360.0,410.0,1.692,0.584,0.2,,,0.1589652473727861,406.0,7.3891720961158445,0.004384772914151375,33.0,0.009484445055325808,406.0,0.1589652473727861,-0.0021641910076140858,3.0,3.0
dose_5,Sigma,composite,360_410nm,360.0,410.0,360.0,410.0,2.488,0.768,0.2,,,0.2082074259718259,406.0,9.813614965106048,0.004274907882014928,33.0,0.009822147587935287,406.0,0.2082074259718259,-0.002372132043043873,3.0,3.0
dose_6,Sigma,composite,360_410nm,360.0,410.0,360.0,410.0,3.185,0.707,0.2,,,0.2232896933952967,410.0,10.417605429266887,0.004630729630589497,33.0,0.009989845256010793,406.0,0.2228736206889152,-0.002082797785599999,3.0,3.0
dose_1,12Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,0.0,0.0,0.2,5.0,3.0,0.3665847977002461,595.5,65.96090098780888,0.05664513636380439,131.0,0.09192131459712992,,,,,
dose_2,12Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,0.647,0.246,0.2,5.0,3.0,0.3589600026607513,593.5,54.02900330722329,0.07975474387407308,134.5,0.057484281559785605,,,,,
dose_3,12Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,1.095,0.338,0.2,5.0,3.0,0.3487889071305592,593.5,56.53347531116255,0.059470184333622444,113.0,0.05519699305295961,,,,,
dose_4,12Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,1.692,0.584,0.2,5.0,3.0,0.3973186314105987,593.5,62.93412753442921,0.07148361534708078,123.5,0.0506584544976554,,,,,
dose_5,12Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,2.488,0.768,0.2,5.0,3.0,0.5274607638518015,600.0,86.63063414394854,0.10803055549661322,132.0,0.0739688724279403,,,,,
dose_6,12Oclock,angle,peak_band_auto,300.0,600.0,300.0,600.0,3.185,0.707,0.2,5.0,3.0,0.5228802164395651,593.5,87.41709212648371,0.09338678203523154,126.5,0.06853038569291427,,,,,
