dose_id,angle,band_label,wavelength_nm,reflectance
dose_1,12Oclock,320_480nm,385.0,0.1652875940004984
dose_1,12Oclock,320_480nm,385.5,0.1656158069769541
dose_1,12Oclock,320_480nm,386.0,0.1652189046144485
dose_1,12Oclock,320_480nm,386.5,0.1648327410221099
dose_1,12Oclock,320_480nm,387.0,0.1685504019260405
dose_1,12Oclock,320_480nm,387.5,0.1704423328240712
dose_1,12Oclock,320_480nm,388.0,0.1700873225927352
dose_1,12Oclock,320_480nm,388.5,0.1661431044340133
dose_1,12Oclock,320_480nm,389.0,0.165066768725713
dose_1,12Oclock,320_480nm,389.5,0.1666963547468185
dose_1,12Oclock,320_480nm,390.0,0.1695174972216287
dose_1,12Oclock,320_480nm,390.5,0.1673730015754699
dose_1,12Oclock,320_480nm,391.0,0.1698622653881708
dose_1,12Oclock,320_480nm,391.5,0.1685005823771158
dose_1,12Oclock,320_480nm,392.0,0.1661032040913899
dose_1,12Oclock,320_480nm,392.5,0.1673607726891835
dose_1,12Oclock,320_480nm,393.0,0.1678528587023417
dose_1,12Oclock,320_480nm,393.5,0.1674928168455759
dose_1,12Oclock,320_480nm,394.0,0.1658815840880075
dose_1,12Oclock,320_480nm,394.5,0.1660483827193578
dose_1,12Oclock,320_480nm,395.0,0.1667578319708506
dose_1,12Oclock,320_480nm,395.5,0.1695346037546793
dose_1,12Oclock,320_480nm,396.0,0.1717238674561182
dose_1,12Oclock,320_480nm,396.5,0.1703226466973622
dose_1,12Oclock,320_480nm,397.0,0.1716759900252023
dose_1,12Oclock,320_480nm,397.5,0.1702541758616765
dose_1,12Oclock,320_480nm,398.0,0.1700920859972635
dose_1,12Oclock,320_480nm,398.5,0.1682727634906768
dose_1,12Oclock,320_480nm,399.0,0.170939341187477
dose_1,12Oclock,320_480nm,399.5,0.1721249719460804
dose_1,12Oclock,320_480nm,400.0,0.1711938083171843
dose_1,12Oclock,320_480nm,400.5,0.1685151606798171
dose_1,12Oclock,320_480nm,401.0,0.1666170905033747
dose_1,12Oclock,320_480nm,401.5,0.1686651209990183
dose_1,12Oclock,320_480nm,402.0,0.1703244298696517
dose_1,12Oclock,320_480nm,402.5,0.1702512602011362
dose_1,12Oclock,320_480nm,403.0,0.1684746444225311
dose_1,12Oclock,320_480nm,403.5,0.1678985754648844
dose_1,12Oclock,320_480nm,404.0,0.1681263397137323
dose_1,12Oclock,320_480nm,404.5,0.1662068019310633
dose_1,12Oclock,320_480nm,405.0,0.1670656949281692
dose_1,12Oclock,320_480nm,405.5,0.1695424218972523
dose_1,12Oclock,320_480nm,406.0,0.1744363456964492
dose_1,12Oclock,320_480nm,406.5,0.1707800974448521
dose_1,12Oclock,320_480nm,407.0,0.1702939470609028
dose_1,12Oclock,320_480nm,407.5,0.1707850098609924
dose_1,12Oclock,320_480nm,408.0,0.1704564889272053
dose_1,12Oclock,320_480nm,408.5,0.1690735469261805
dose_1,12Oclock,320_480nm,409.0,0.1704039523998896
dose_1,12Oclock,320_480nm,409.5,0.174407402674357
dose_1,12Oclock,320_480nm,410.0,0.1742852528889974
dose_1,12Oclock,320_480nm,410.5,0.1714504112799962
dose_1,12Oclock,320_480nm,411.0,0.1723617712656656
dose_1,12Oclock,320_480nm,411.5,0.1784868538379668
dose_1,12Oclock,320_480nm,412.0,0.1770187964042027
dose_1,12Oclock,320_480nm,412.5,0.1727414180835087
dose_1,12Oclock,320_480nm,413.0,0.1700222839911778
dose_1,12Oclock,320_480nm,413.5,0.1743619243303934
dose_1,12Oclock,320_480nm,414.0,0.1779838452736536
dose_1,12Oclock,320_480nm,414.5,0.1761781771977742
dose_1,12Oclock,320_480nm,415.0,0.1726481864849726
dose_1,12Oclock,320_480nm,415.5,0.1731183528900145
dose_1,12Oclock,320_480nm,416.0,0.1757524460554122
dose_1,12Oclock,320_480nm,416.5,0.1713809867699941
dose_1,12Oclock,320_480nm,417.0,0.171316996216774
dose_1,12Oclock,320_480nm,417.5,0.171674405535062
dose_1,12Oclock,320_480nm,418.0,0.174084335565567
dose_1,12Oclock,320_480nm,418.5,0.1741988559563954
dose_1,12Oclock,320_480nm,419.0,0.1727272073427835
dose_1,12Oclock,320_480nm,419.5,0.1762042194604873
dose_1,12Oclock,320_480nm,420.0,0.1743864168723423
dose_1,12Oclock,320_480nm,420.5,0.1728826761245727
dose_1,12Oclock,320_480nm,421.0,0.175189509987831
dose_1,12Oclock,320_480nm,421.5,0.1724852919578552
dose_1,12Oclock,320_480nm,422.0,0.1743904054164886
dose_1,12Oclock,320_480nm,422.5,0.1763051897287368
dose_1,12Oclock,320_480nm,423.0,0.1742655982573826
dose_1,12Oclock,320_480nm,423.5,0.1748622755209604
dose_1,12Oclock,320_480nm,424.0,0.1739043047030766
dose_1,12Oclock,320_480nm,424.5,0.1747801005840301
dose_1,12Oclock,320_480nm,425.0,0.1798111051321029
dose_1,12Oclock,320_480nm,425.5,0.1782777607440948
dose_1,12Oclock,320_480nm,426.0,0.1758438646793365
dose_1,12Oclock,320_480nm,426.5,0.1746583729982376
dose_1,12Oclock,320_480nm,427.0,0.1759155293305714
dose_1,12Oclock,320_480nm,427.5,0.181532676021258
