dose_id,angle,band_label,wavelength_nm,continuum_minus_reflectance
dose_3,12Oclock,320_480nm,413.5,0.009071107100074471
dose_3,12Oclock,320_480nm,414.0,0.004918319794038867
dose_3,12Oclock,320_480nm,414.5,0.0076659622136502625
dose_3,12Oclock,320_480nm,415.0,0.012031326846529966
dose_3,12Oclock,320_480nm,415.5,0.011406123715763244
dose_3,12Oclock,320_480nm,416.0,0.009088831643263462
dose_3,12Oclock,320_480nm,416.5,0.013942691109453564
dose_3,12Oclock,320_480nm,417.0,0.014539263987292855
dose_3,12Oclock,320_480nm,417.5,0.014932778741543445
dose_3,12Oclock,320_480nm,418.0,0.011972255694369466
dose_3,12Oclock,320_480nm,418.5,0.012425658215458157
dose_3,12Oclock,320_480nm,419.0,0.01446812801683936
dose_3,12Oclock,320_480nm,419.5,0.010852425747240546
dose_3,12Oclock,320_480nm,420.0,0.012900632495681352
dose_3,12Oclock,320_480nm,420.5,0.014518317378436535
dose_3,12Oclock,320_480nm,421.0,0.012456329384197745
dose_3,12Oclock,320_480nm,421.5,0.016046769063298855
dose_3,12Oclock,320_480nm,422.0,0.014173074625432436
dose_3,12Oclock,320_480nm,422.5,0.012909155571833253
dose_3,12Oclock,320_480nm,423.0,0.015370718048264537
dose_3,12Oclock,320_480nm,423.5,0.014880298404023051
dose_3,12Oclock,320_480nm,424.0,0.01674820606907204
dose_3,12Oclock,320_480nm,424.5,0.01610491789566973
dose_3,12Oclock,320_480nm,425.0,0.011030563308546959
dose_3,12Oclock,320_480nm,425.5,0.012980966285491918
dose_3,12Oclock,320_480nm,426.0,0.016265090244511726
dose_3,12Oclock,320_480nm,426.5,0.018315909663215252
dose_3,12Oclock,320_480nm,427.0,0.017063673119992018
dose_3,12Oclock,320_480nm,427.5,0.011390058401351127
dose_3,12Oclock,320_480nm,428.0,0.017958837871750233
dose_3,12Oclock,320_480nm,428.5,0.018058683024719413
dose_3,12Oclock,320_480nm,429.0,0.013970894583811316
dose_3,12Oclock,320_480nm,429.5,0.008031246950849918
dose_3,12Oclock,320_480nm,430.0,0.0177978354816635
dose_3,12Oclock,320_480nm,430.5,0.01729200555322072
dose_3,12Oclock,320_480nm,431.0,0.016042096074670525
dose_3,12Oclock,320_480nm,431.5,0.016395956355457486
dose_3,12Oclock,320_480nm,432.0,0.015251917143662697
dose_3,12Oclock,320_480nm,432.5,0.016634188514823706
dose_3,12Oclock,320_480nm,433.0,0.017625590010235698
dose_3,12Oclock,320_480nm,433.5,0.017671204870566698
dose_3,12Oclock,320_480nm,434.0,0.018721865800519794
dose_3,12Oclock,320_480nm,434.5,0.01956612081266937
dose_3,12Oclock,320_480nm,435.0,0.021041484704861974
dose_3,12Oclock,320_480nm,435.5,0.019003830306852793
dose_3,12Oclock,320_480nm,436.0,0.017634691670536967
dose_3,12Oclock,320_480nm,436.5,0.014680866695319567
dose_3,12Oclock,320_480nm,437.0,0.020264408706376885
dose_3,12Oclock,320_480nm,437.5,0.019148964822913173
dose_3,12Oclock,320_480nm,438.0,0.021156973205506774
dose_3,12Oclock,320_480nm,438.5,0.019433119877551974
dose_3,12Oclock,320_480nm,439.0,0.019644080506016764
dose_3,12Oclock,320_480nm,439.5,0.018991566030308576
dose_3,12Oclock,320_480nm,440.0,0.020112577825784683
dose_3,12Oclock,320_480nm,440.5,0.019306844643627558
dose_3,12Oclock,320_480nm,441.0,0.019774895006169857
dose_3,12Oclock,320_480nm,441.5,0.015296845153594973
dose_3,12Oclock,320_480nm,442.0,0.020577200688421643
dose_3,12Oclock,320_480nm,442.5,0.015785339831685036
dose_3,12Oclock,320_480nm,443.0,0.014149363618344069
dose_3,12Oclock,320_480nm,443.5,0.014168901446585835
dose_3,12Oclock,320_480nm,444.0,0.013841088240345328
dose_3,12Oclock,320_480nm,444.5,0.020890728182469842
dose_3,12Oclock,320_480nm,445.0,0.017840274143964024
dose_3,12Oclock,320_480nm,445.5,0.014162543307368936
dose_3,12Oclock,320_480nm,446.0,0.017424688053627846
dose_3,12Oclock,320_480nm,446.5,0.019885455801462115
dose_3,12Oclock,320_480nm,447.0,0.02072165425245953
dose_3,12Oclock,320_480nm,447.5,0.020453808285916836
dose_3,12Oclock,320_480nm,448.0,0.018944849570592198
dose_3,12Oclock,320_480nm,448.5,0.019875960967813827
dose_3,12Oclock,320_480nm,449.0,0.019766752763340834
dose_3,12Oclock,320_480nm,449.5,0.016855147744839316
dose_3,12Oclock,320_480nm,450.0,0.01912381717314321
dose_3,12Oclock,320_480nm,450.5,0.016830173243458008
dose_3,12Oclock,320_480nm,451.0,0.009830648234734896
dose_3,12Oclock,320_480nm,451.5,0.003069442464038702
dose_3,12Oclock,320_480nm,452.0,0.012174302712082918
dose_3,12Oclock,320_480nm,452.5,0.008286577261363393
dose_3,12Oclock,320_480nm,453.0,0.006620441097766133
dose_3,12Oclock,320_480nm,453.5,0.01523127321464321
dose_3,12Oclock,320_480nm,454.0,0.004905799093345792
dose_3,12Oclock,320_480nm,454.5,0.011252250755205723
dose_3,12Oclock,320_480nm,455.0,0.012163603212684393
dose_3,12Oclock,320_480nm,455.5,0.008603375482683362
dose_3,12Oclock,320_480nm,456.0,0.013685274869203595
dose_3,12Oclock,320_480nm,456.5,0.013259272944802974
dose_3,12Oclock,320_480nm,457.0,0.007512935592482478
dose_3,12Oclock,320_480nm,457.5,0.006282072281464907
dose_3,12Oclock,320_480nm,458.0,0.01262691958496967
dose_3,12Oclock,320_480nm,458.5,0.010338232774908362
dose_3,12Oclock,320_480nm,459.0,0.008144665043801097
dose_3,12Oclock,320_480nm,459.5,0.0063256429663548774
dose_3,12Oclock,320_480nm,460.0,0.007527945563197164
dose_3,12Oclock,320_480nm,460.5,0.011867434329663695
dose_3,12Oclock,320_480nm,461.0,0.009728727707018464
dose_3,12Oclock,320_480nm,461.5,0.004897709082191143
dose_3,12Oclock,320_480nm,462.0,0.006022252452870164
dose_3,12Oclock,320_480nm,462.5,0.005541806652521047
dose_3,12Oclock,320_480nm,463.0,0.0025933510623872558
dose_3,12Oclock,320_480nm,463.5,0.0014728606523324583
dose_3,12Oclock,320_480nm,464.0,0.0016592169801393497
dose_3,12Oclock,320_480nm,464.5,-0.003307789641742831
dose_3,12Oclock,320_480nm,465.0,0.001864659134298563
dose_3,12Oclock,320_480nm,465.5,-0.0008650623106708499
dose_3,12Oclock,320_480nm,466.0,0.00015702564269304276
dose_3,12Oclock,320_480nm,466.5,0.0012028759811073542
dose_3,12Oclock,320_480nm,467.0,0.004365913104265928
dose_3,12Oclock,320_480nm,467.5,0.0005499367446949455
dose_3,12Oclock,320_480nm,468.0,-0.0030656438320875445
dose_3,12Oclock,320_480nm,468.5,-0.00343236397020516
dose_3,12Oclock,320_480nm,469.0,-0.006515987993528455
dose_3,12Oclock,320_480nm,469.5,-0.012751555303111756
dose_3,12Oclock,320_480nm,470.0,-0.008099673626323495
dose_3,12Oclock,320_480nm,470.5,-0.00806508562527597
dose_3,12Oclock,320_480nm,471.0,-0.002163398855676263
dose_3,12Oclock,320_480nm,471.5,-0.003902655017251788
dose_3,12Oclock,320_480nm,472.0,-0.00044772401452058963
dose_3,12Oclock,320_480nm,472.5,-0.007162130204960676
dose_3,12Oclock,320_480nm,473.0,0.00010155250007901073
dose_3,12Oclock,320_480nm,473.5,-0.0034300351981073895
dose_3,12Oclock,320_480nm,474.0,-0.0009725432222087715
dose_3,12Oclock,320_480nm,474.5,-0.0036143180138120956
dose_3,12Oclock,320_480nm,475.0,-0.003124633648743297
dose_3,12Oclock,320_480nm,475.5,-0.00531806726939979
dose_3,12Oclock,320_480nm,476.0,-0.0038845234860977185
dose_3,12Oclock,320_480nm,476.5,-0.0015971083970119093
dose_3,12Oclock,320_480nm,477.0,-0.0006676460616290847
dose_3,12Oclock,320_480nm,477.5,-0.00324077617066601
dose_3,12Oclock,320_480nm,478.0,-0.0015697873507937166
dose_3,12Oclock,320_480nm,478.5,0.0021394319677104923
dose_3,12Oclock,320_480nm,479.0,0.0030140629969537813
dose_3,12Oclock,320_480nm,479.5,0.0022705570639421913
dose_3,12Oclock,320_480nm,480.0,0.0
