target,modality,kind,band_label,component,band_lower_nm,band_upper_nm,model_type,estimator,n_samples,rmse,mae,r2,rmse_loocv,mae_loocv,coefficients,intercept,feature_columns
dad_total,dad,6Oclock,320_480nm,total,320.0,480.0,ridge,ridge,6,0.39502226108360294,0.2863407454048016,0.0760039812526101,1.9049601541620294,1.2777682239828172,"[0.008765635287788896, 0.008745442695335618, -0.027601544520942316, -0.004871754936266541, -0.001158805301564441, -0.0024875572236246575, 0.0, 0.0]",-1.8449522868851265,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,6Oclock,320_480nm,oxidized,320.0,480.0,ridge,ridge,6,0.30790063355147984,0.21421710604634092,0.2575223799241456,1.414206131252845,0.9582079886232885,"[0.007507589419956849, 0.01025808650134654, -0.02952206863415945, -0.0032093841801711888, -0.011344800424801205, -0.00186778025808522, 0.0, 0.0]",-2.6741814009134415,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,6Oclock,320_480nm,reduced,320.0,480.0,ridge,ridge,6,0.32414180945051385,0.23962954150488602,0.14804084759996272,1.6012971850831081,1.069690410360655,"[0.0070010031894192915, -0.005015465464983162, -0.009561136213697148, -0.0041951859403262055, 0.011694648523315856, -0.002060502536339434, 0.0, 0.0]",3.6483832512240415,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,6Oclock,320_480nm,total,320.0,480.0,ridge,ridge,6,0.20387891742338293,0.15045509156742592,0.05564719553046649,1.000097107661028,0.6654759708637714,"[0.004371822815742666, -0.0010038542232458116, -0.012139453906387092, -0.0026281904622218006, 0.0002203631370067035, -0.001294350280410384, 0.0, 0.0]",1.5304694714566924,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,6Oclock,360_410nm,total,360.0,410.0,ridge,ridge,6,0.17856030840674766,0.1456295107174898,0.34670955213945887,0.32726984004481907,0.2938015202976479,"[-0.0011388767622191, 0.09652721431365678, -0.10448330428206007, -0.00024102369444702214, -7.911116223718911e-14, -0.001098194873048936, -0.0011462973690618934, 0.0003857517557893669]",-37.605919849648856,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,6Oclock,360_410nm,oxidized,360.0,410.0,ridge,ridge,6,0.08146419745513074,0.06067469129130241,0.7961605430074051,0.19984018128275538,0.15274972590070454,"[-0.0027959602259070627, 0.09498898527355196, -0.14202491678449877, -0.00017378137134587408, -7.882458274425247e-14, -0.00048561029553280817, -0.002803262580161596, 0.00013834175878071596]",-37.0112890090262,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,6Oclock,360_410nm,reduced,360.0,410.0,ridge,ridge,6,0.3182680182029147,0.24231216567197947,0.025308359549605752,0.49993180285935956,0.41281623566648257,"[0.001512287297123122, 0.04325007537486218, -0.03082464164433415, -0.0002009882886660383, -5.1814928668024156e-14, -0.0016040018782965237, 0.001508962412969417, 0.0006555328383648736]",-15.98345324875202,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_total,dad,6Oclock,360_410nm,total,360.0,410.0,ridge,ridge,6,0.31813045823063973,0.26590906499635497,0.4007094066582889,0.595318897103383,0.5388543529208621,"[-0.0021846938680957144, 0.18880903854316847, -0.21265203252635878, -0.0005240832824484373, -1.1367503986943892e-13, -0.001904422898843086, -0.0021992087140214897, 0.0006195075794765683]",-73.51055221756407,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,6Oclock,360_410nm,oxidized,360.0,410.0,ridge,ridge,6,0.1879336841470193,0.14070569777274805,0.7233877192623785,0.4690385687094874,0.3582539530245568,"[-0.004238880632514824, 0.22143165615289553, -0.24768600365435964, -0.00037147351080680586, -1.6567085091465168e-13, -0.0011671620274348543, -0.004255903368274497, 0.00037127427352225915]",-87.32267925755211,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,6Oclock,360_410nm,reduced,360.0,410.0,ridge,ridge,6,0.33355572731782807,0.2737733097050825,0.09783604211390484,0.5440890715328708,0.4857688851441786,"[0.0010405613956203758, 0.08695551766688574, -0.08162053392563895, -0.00039359248691015825, -3.223652427555422e-14, -0.0017448271342938363, 0.0010338766206167125, 0.0006182716885434956]",-32.847611832269266,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,6Oclock,360_410nm,total,360.0,410.0,ridge,ridge,6,0.16620976537234217,0.13798548454233292,0.37237142300308246,0.3094578963923366,0.27977380413102715,"[-0.0010685629545578608, 0.09554621342801253, -0.1023098996221876, -0.00024934352389101614, -9.257015379598458e-14, -0.0010175209232260356, -0.0010759081461726061, 0.00034481992179329036]",-37.23260658455999,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,6Oclock,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.1235243046250184,0.10779917987310526,0.6873623418724302,0.36701491518668805,0.29553875619290865,"[0.00031218955334273967, -0.05940941950995676, -0.0010345545515803676, -0.0022739688926278617, -0.045367607393794536, -3.511289519971264e-05, 0.0, 0.0]",41.91135481446492,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,6Oclock,peak_band_auto,oxidized,300.0,600.0,ridge,ridge,6,0.10775820197940217,0.09684914589895256,0.6433392163609883,0.2706795697275727,0.23849314900883548,"[-0.00043064702155578725, -0.04263126650488019, -0.00933371811772601, -0.002083738050399309, -0.026544314891158622, 0.000682396882736079, 0.0, 0.0]",29.818216241975172,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,6Oclock,peak_band_auto,reduced,300.0,600.0,ridge,ridge,6,0.21363771707552565,0.16567599925851753,0.5608255172056329,0.5029040373434684,0.40091516053936466,"[0.0020637400805792344, -0.041709744728286216, 0.007086820978300242, -0.001115660721561665, -0.06066426849320421, -0.0013987401540623778, 0.0, 0.0]",33.29163290954553,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_total,dad,6Oclock,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.18638267901840758,0.14833894217485769,0.7942982158099907,0.5632006894153337,0.4285645423952733,"[0.0002779524716840447, -0.08767774065420332, -0.002325105795954971, -0.0036629838484891807, -0.09194346855447241, 0.0003464203993344275, 0.0, 0.0]",65.39616879092898,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_oxidized,dad,6Oclock,peak_band_auto,oxidized,300.0,600.0,ridge,ridge,6,0.2331416993543268,0.20701799398357412,0.574301501945104,0.655064226714554,0.5504356309572831,"[-9.46376502190401e-05, -0.07897523683879246, -0.00879483808292683, -0.00438070373231865, -0.06264165139459968, 0.0013542215108318305, 0.0, 0.0]",56.149101840171255,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
dad_reduced,dad,6Oclock,peak_band_auto,reduced,300.0,600.0,ridge,ridge,6,0.14420641245128155,0.11981497783331152,0.8313766108787933,0.38440029203446713,0.30526874677451515,"[0.0013438036342168223, -0.03965320290700998, 0.006902153739710854, -0.001259887473350488, -0.08178643289674388, -0.0007719118061564737, 0.0, 0.0]",35.2115330131245,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
latent_total,latent,6Oclock,peak_band_auto,total,300.0,600.0,ridge,ridge,6,0.10789801381075102,0.09099838906681741,0.7355055660210603,0.3235356345327593,0.2549297546626271,"[0.00021177906073523907, -0.05207157283257791, -0.0007175124671735018, -0.002065981296673427, -0.044947876423106416, 7.448660442827202e-05, 0.0, 0.0]",37.45839354145738,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_total,chrom,Delta,320_480nm,total,320.0,480.0,ridge,ridge,6,0.08449865826055435,0.0734105116727732,0.8537027780768989,0.6037862629844786,0.4289146143765398,"[0.0002382402928476034, 0.001331886834326876, 0.010894783937490105, 0.0003927203063504897, -0.0038287268143160588, 0.0004039103564797608, 0.0, 0.0]",0.38159317165457757,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_oxidized,chrom,Delta,320_480nm,oxidized,320.0,480.0,ridge,ridge,6,0.08654160845976114,0.07069591407156024,0.7699593360748533,0.5789741648438816,0.42069360989258014,"[-0.0006327160758404636, 0.0029870779966774358, 0.0022056484369664315, 0.00018711248455356063, -0.0032455602033717203, 8.631476976889354e-05, 0.0, 0.0]",-0.6404696593172703,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
chrom_reduced,chrom,Delta,320_480nm,reduced,320.0,480.0,ridge,ridge,6,0.1449159020055121,0.10625406959263485,0.7979246543587328,0.4401064737242435,0.38256401524165,"[0.001505734349572214, -0.0012197003288537233, 0.025307564604079534, 0.0003236981929061615, -0.0039014478819202575, 0.0005085568052032085, 0.0, 0.0]",1.9858555661410064,"['peak_reflectance', 'peak_wavelength_nm', 'auc', 'continuum_depth', 'fwhm_nm', 'max_curvature', 'fixed_peak_reflectance', 'fixed_continuum_depth']"
